asin,rating,reviewCount,httpStatus
1612680194,4.8,30428,200
B00LBHEP3O,4.6,19626,200
B07MLSYKSC,4.6,1660,200
B071767P3P,4.7,2526,200
B0FD3529HN,4.5,411,200
B086YFD5KN,4.7,14199,200
B01MSSDEPK,4.7,945,200
B09YDHTQ92,4.7,109117,200
B076Q6442Z,4.6,154506,200
B09YRR5W5C,4.6,2464,200
B0DKTYN7NS,4.8,118,200
B0FBH1926N,4.6,8699,200
B07PWJQGC6,4.7,5323,200
B086D6R92Y,4.6,10772,200
B0B8S2L8XM,4.6,3204,200
B00VQRY3CM,4.5,521,200
B092Q99N22,4.8,5395,200
B07PDG62XY,4.6,414,200
B0C1G2R3G7,4.5,693,200
B017V7UKW2,4.7,24766,200
B0747N45S5,4.6,13653,200
B01JZFC9QS,4.6,33402,200
B07BNSRKM6,4.7,86,200
B073429DV2,4.6,23774,200
B0C37RKB5T,4.7,2637,200
B0BDMPWJ25,4.6,489,200
B0CLP4MQFP,4.6,2867,200
B01FDZ5D94,4.8,9114,200
B07TX69SNH,4.7,10924,200
B01MR4Y0CZ,4.3,71788,200
B08PQ5XHTH,4.5,42982,200
B08PP48979,4.5,49108,200
B0CRS4V2WL,4.4,34,200
B0CZLJQGB9,4.3,2008,200
B01MZ9GV6R,4.5,243,200
B0GRSV99Y6,4.5,55,200
B0CZNY3LR8,4.5,1608,200
B099K4B5P8,4.6,29,200
B07HGDF3TD,4.8,937,200
B07DBV9ZHF,4.5,784,200
B09PH1B65Z,4.8,14,200
B07SM61FCT,4.4,27418,200
B0CXSSXNC7,4.0,263,200
B07C6T4HQ1,4.7,12570,200
B0CJMKRY3H,3.9,9392,200
B0FGTPC75P,4.4,2233,200
B0B75S7J7J,4.6,342,200
B08FSPYN2M,4.4,2598,200
B0D41XL87F,4.7,2429,200
B0B5RBBGC9,4.6,4789,200
B07SB26CS4,4.1,244,200
B0DJGHWD1G,4.6,255,200
B0C6NMWVPS,4.8,3870,200
B0D8R6248L,4.8,3043,200
B09C8HR4Z9,4.5,12863,200
B07YYHC6RB,4.7,4757,200
B09SZ9T4MV,4.6,7726,200
B00J5S5B02,4.7,454,200
B0DT488Z4X,,,200
B00JVB8FBA,4.7,39922,200
B07T1CH2HH,4.6,27982,200
B0F53NLGFX,4.6,298,200
B0CL93S7RS,4.6,10273,200
B078CYM62J,4.8,641,200
